ssd,subject,violation,study
250.0,2011,-61.0,Deadline1500ms
300.0,2011,,Deadline1500ms
0.0,2013,,Deadline1500ms
50.0,2013,19.285714285714285,Deadline1500ms
100.0,2013,97.25,Deadline1500ms
150.0,2013,-38.92307692307692,Deadline1500ms
200.0,2013,-33.5,Deadline1500ms
250.0,2013,-10.857142857142858,Deadline1500ms
300.0,2013,,Deadline1500ms
0.0,2014,-2.0,Deadline1500ms
50.0,2014,3.4166666666666665,Deadline1500ms
100.0,2014,-3.583333333333333,Deadline1500ms
150.0,2014,-77.25,Deadline1500ms
200.0,2014,-44.875,Deadline1500ms
250.0,2014,-21.5,Deadline1500ms
300.0,2014,,Deadline1500ms
0.0,2016,-36.0,Deadline1500ms
50.0,2016,98.66666666666669,Deadline1500ms
100.0,2016,-39.46666666666667,Deadline1500ms
150.0,2016,-22.181818181818183,Deadline1500ms
200.0,2016,-3.0,Deadline1500ms
250.0,2016,-42.0,Deadline1500ms
300.0,2016,,Deadline1500ms
0.0,2017,42.5,Deadline1500ms
50.0,2017,31.0,Deadline1500ms
100.0,2017,18.0,Deadline1500ms
150.0,2017,30.5,Deadline1500ms
200.0,2017,4.454545454545454,Deadline1500ms
250.0,2017,-40.54545454545455,Deadline1500ms
300.0,2017,,Deadline1500ms
0.0,2018,,Deadline1500ms
50.0,2018,0.0,Deadline1500ms
100.0,2018,-37.63636363636363,Deadline1500ms
150.0,2018,-6.0,Deadline1500ms
200.0,2018,-3.4444444444444446,Deadline1500ms
250.0,2018,-47.0,Deadline1500ms
300.0,2018,,Deadline1500ms
0.0,2020,-29.5,Deadline1500ms
50.0,2020,-5.5,Deadline1500ms
100.0,2020,-43.0,Deadline1500ms
150.0,2020,20.705882352941178,Deadline1500ms
200.0,2020,-45.54545454545455,Deadline1500ms
250.0,2020,-42.333333333333336,Deadline1500ms
300.0,2020,58.5,Deadline1500ms
0.0,2021,,Deadline1500ms
50.0,2021,,Deadline1500ms
100.0,2021,-25.375,Deadline1500ms
150.0,2021,-36.111111111111114,Deadline1500ms
200.0,2021,-41.588235294117645,Deadline1500ms
250.0,2021,-12.25,Deadline1500ms
300.0,2021,,Deadline1500ms
0.0,2023,,Deadline1500ms
